,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_eta,param_lamda,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
20,0.008573611577351889,7.033348083496094e-05,-4.65954525208016,-4.411793342514971,0.3,0,"{'eta': 0.3, 'lamda': 0}",1,-4.503576006569604,-4.504928162403998,-4.593574115990494,-4.407577043377578,-4.881485633680381,-4.322874821763337,0.0006749225954182206,6.14670039420748e-06,0.1611791232624383,0.07438273811137522
15,0.007744391759236653,4.57763671875e-05,-4.663452027639437,-4.46430867898032,0.2,0,"{'eta': 0.2, 'lamda': 0}",2,-4.545909314116508,-4.552204485251572,-4.6365354373711085,-4.449099267255852,-4.807911331430695,-4.391622284433536,0.0005635390276889124,7.405062551686704e-06,0.10864204647351698,0.0664337035880849
21,0.008324782053629557,7.70886739095052e-05,-4.669875984665596,-4.449577645199883,0.3,0.01,"{'eta': 0.3, 'lamda': 0.01}",3,-4.546028700321023,-4.537944134652389,-4.623453752565976,-4.442252619201925,-4.840145501109791,-4.368536181745335,0.0002466743598947521,2.6585067356950045e-05,0.12447875548699912,0.06935419060370587
16,0.009648482004801432,8.320808410644531e-05,-4.691932545516202,-4.505817383184112,0.2,0.01,"{'eta': 0.2, 'lamda': 0.01}",4,-4.588291121528628,-4.585502197256846,-4.670850655631412,-4.489226473240067,-4.816655859388567,-4.442723479055424,0.0006628387066072373,2.1264299876352403e-05,0.09441379819812896,0.05945802055449923
10,0.007612069447835286,4.378954569498698e-05,-4.7014529190168375,-4.531088905075387,0.15,0,"{'eta': 0.15, 'lamda': 0}",5,-4.6072382245526615,-4.602656182047355,-4.692657983176292,-4.507016730757317,-4.804462549321556,-4.4835938024214865,0.000584884148758816,3.2709623380115316e-06,0.08075630725611505,0.05150122809437466
11,0.008241494496663412,5.6743621826171875e-05,-4.742801503770454,-4.578463699287432,0.15,0.01,"{'eta': 0.15, 'lamda': 0.01}",6,-4.649024349050156,-4.640954998968303,-4.735688312964357,-4.555314463098508,-4.843691849296847,-4.5391216357954836,0.0007612042347261439,1.6376423607897183e-05,0.07963168140740977,0.04467977779614834
5,0.008494138717651367,8.630752563476562e-05,-4.86908330247819,-4.719588551339949,0.1,0,"{'eta': 0.1, 'lamda': 0}",7,-4.775020648733442,-4.745509308022139,-4.866018343797511,-4.693190875024966,-4.966210914903614,-4.7200654709727425,0.0004940470193785743,2.6454794896469493e-05,0.07808318192091078,0.02136157293010083
6,0.007895708084106445,6.453196207682292e-05,-4.920895283587073,-4.773174301412052,0.1,0.01,"{'eta': 0.1, 'lamda': 0.01}",8,-4.814274764801371,-4.7928636885119635,-4.92050223950226,-4.749768602863831,-5.0279088464575885,-4.7768906128603605,0.0005565475115872101,6.020036336391966e-06,0.08721619144024931,0.017788663615546214
22,0.00815113385518392,7.16845194498698e-05,-5.3039473059691495,-5.170848338319246,0.3,0.1,"{'eta': 0.3, 'lamda': 0.1}",9,-5.098432944913311,-5.194906904050259,-5.347270192704468,-5.167661105801465,-5.46613878028967,-5.149977005106012,0.0006878938721694661,4.092211812101449e-05,0.15320911576179677,0.018480490490006937
17,0.010436137517293295,0.00010784467061360677,-5.316564946110303,-5.184452753051912,0.2,0.1,"{'eta': 0.2, 'lamda': 0.1}",10,-5.106944202524208,-5.205264972896081,-5.3599007321091365,-5.179873528191363,-5.482849903697563,-5.168219758068294,0.0011077746230419684,3.4857162280001254e-05,0.15649231462441504,0.015466392827715659
12,0.00787353515625,7.979075113932292e-05,-5.347811981010132,-5.216835672346806,0.15,0.1,"{'eta': 0.15, 'lamda': 0.1}",11,-5.128334689373169,-5.230600846468577,-5.392792106235176,-5.2116794010704,-5.5223091474220505,-5.20822676950144,0.0006887634218235076,5.3751743466868196e-05,0.16395401214501784,0.009834977720352802
7,0.0082243283589681,5.698204040527344e-05,-5.463415751712322,-5.333636799002842,0.1,0.1,"{'eta': 0.1, 'lamda': 0.1}",12,-5.213326394280188,-5.329416902340903,-5.5144454311598095,-5.331219319843596,-5.662475429696966,-5.340274174824026,0.0008138201430298712,4.460403188197543e-06,0.1868809516641373,0.004750666308160662
0,0.007866462071736654,5.420049031575521e-05,-5.5973287980181246,-5.449791863281262,0.05,0,"{'eta': 0.05, 'lamda': 0}",13,-5.377843698183602,-5.4023175000556005,-5.601028736930107,-5.454623946780573,-5.813113958940665,-5.4924341430076105,0.00027601913848497085,2.628618146346605e-06,0.17771759833294457,0.036948289156993906
